#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Seahawks,,254,313,507,61.7,2970,5.9,9.5,17,13,175,37,234,78
2,Chiefs,,281,318,545,58.3,3252,6,10.2,22,6,184,46,253,84
3,Bills,,289,337,559,60.3,3283,5.9,9.7,16,19,171,52,307,72
4,Chargers,,348,320,524,61.1,3426,6.5,10.7,24,7,168,26,178,90
5,49ers,,340,324,551,58.8,3531,6.4,10.9,29,23,188,36,200,78
6,Dolphins,,373,338,537,62.9,3557,6.6,10.5,27,14,194,39,211,88
7,Vikings,,343,354,535,66.2,3572,6.7,10.1,26,13,189,41,217,91
8,Browns,,337,335,587,57.1,3584,6.1,10.7,22,21,184,31,199,73
9,Broncos,,354,399,642,62.1,3607,5.6,9,29,18,219,41,252,81
10,Packers,,348,333,564,59,3623,6.4,10.9,26,18,196,41,261,80
11,Panthers,,374,364,562,64.8,3645,6.5,10,25,14,193,40,268,88
12,Colts,,369,320,543,58.9,3669,6.8,11.5,27,12,175,41,263,87
13,Lions,,282,383,592,64.7,3706,6.3,9.7,23,20,209,42,295,81
14,Jets,,401,345,538,64.1,3746,7,10.9,31,6,194,45,310,99
15,Titans,,438,347,545,63.7,3774,6.9,10.9,28,12,211,39,222,92
16,Raiders,,452,343,538,63.8,3810,7.1,11.1,29,9,190,22,157,96
17,Patriots,,313,342,574,59.6,3837,6.7,11.2,24,16,196,40,282,82
18,Giants,,400,324,522,62.1,3850,7.4,11.9,25,17,187,47,313,87
19,Rams,,354,368,540,68.1,3851,7.1,10.5,18,13,189,41,275,90
20,Bengals,,344,365,608,60,3888,6.4,10.7,18,20,197,20,125,75
21,Texans,,307,363,619,58.6,3897,6.3,10.7,28,20,206,37,244,79
22,Jaguars,,412,355,541,65.6,3899,7.2,11,24,6,200,45,275,97
23,Ravens,,302,382,595,64.2,3973,6.7,10.4,22,11,205,50,368,88
24,Commanders,,438,346,520,66.5,3985,7.7,11.5,35,7,195,37,246,106
25,Saints,,424,341,546,62.5,4019,7.4,11.8,26,12,205,34,188,92
26,Cowboys,,352,371,558,66.5,4031,7.2,10.9,22,18,195,28,156,87
27,Steelers,,368,351,544,64.5,4057,7.5,11.6,30,11,193,33,194,97
28,Buccaneers,,410,387,564,68.6,4090,7.3,10.6,28,14,223,35,204,96
29,Cardinals,,299,365,579,63,4152,7.2,11.4,22,18,195,35,244,84
30,Bears,,442,366,548,66.8,4230,7.7,11.6,34,14,227,39,228,100
31,Eagles,,400,345,591,58.4,4238,7.2,12.3,30,12,211,49,357,89
32,Falcons,,417,359,566,63.4,4478,7.9,12.5,20,16,224,22,140,88
