#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Jaguars,,268,289,509,56.8,2718,5.3,9.4,17,21,143,55,356,66
2,Vikings,,252,324,555,58.4,3078,5.5,9.5,13,14,168,37,251,71
3,Chargers,,272,329,524,62.8,3156,6,9.6,17,18,153,43,261,76
4,Broncos,,382,294,491,59.9,3210,6.5,10.9,29,10,166,33,175,90
5,Steelers,,308,297,499,59.5,3217,6.4,10.8,20,16,157,56,393,79
6,Seahawks,,332,325,554,58.7,3347,6,10.3,19,14,181,39,269,77
7,Bears,,320,343,529,64.8,3376,6.4,9.8,18,8,180,42,277,88
8,Bengals,,349,336,561,59.9,3379,6,10.1,20,11,173,41,278,81
9,Commanders,,388,306,531,57.6,3420,6.4,11.2,23,16,171,42,272,79
10,Ravens,,303,333,569,58.5,3421,6,10.3,18,22,179,41,280,70
11,Cowboys,,332,371,559,66.4,3425,6.1,9.2,28,10,181,38,321,92
12,Falcons,,315,362,553,65.5,3429,6.2,9.5,22,8,197,39,296,90
13,Rams,,329,324,555,58.4,3475,6.3,10.7,21,18,181,48,324,76
14,Cardinals,,361,343,564,60.8,3541,6.3,10.3,24,15,187,37,255,82
15,Saints,,326,329,554,59.4,3597,6.5,10.9,22,20,172,42,287,77
16,Dolphins,,393,339,528,64.2,3603,6.8,10.6,26,9,190,30,185,93
17,Eagles,,295,363,601,60.4,3637,6.1,10,24,19,177,38,246,78
18,Panthers,,327,351,550,63.8,3665,6.7,10.4,25,10,187,50,304,91
19,Browns,,410,360,525,68.6,3684,7,10.2,28,7,189,34,197,101
20,Bills,,359,370,573,64.6,3688,6.4,10,14,18,199,27,156,78
21,Jets,,382,329,558,59,3749,6.7,11.4,30,11,191,28,155,89
22,49ers,,383,344,544,63.2,3764,6.9,10.9,27,10,198,30,179,92
23,Packers,,384,348,513,67.8,3789,7.4,10.9,30,11,211,37,252,100
24,Texans,,436,321,501,64.1,3799,7.6,11.8,30,11,176,32,200,98
25,Titans,,356,369,605,61,3828,6.3,10.4,27,12,231,43,272,86
26,Raiders,,373,361,530,68.1,3858,7.3,10.7,24,5,187,31,188,100
27,Lions,,376,366,570,64.2,3892,6.8,10.6,21,19,205,35,228,82
28,Colts,,404,320,513,62.4,3944,7.7,12.3,23,13,192,26,179,90
29,Chiefs,,339,325,570,57,3952,6.9,12.2,23,16,204,31,179,80
30,Patriots,,296,367,590,62.2,4020,6.8,11,24,12,204,42,299,87
31,Giants,,388,347,561,61.9,4038,7.2,11.6,32,13,189,27,161,93
32,Buccaneers,,382,371,549,67.6,4169,7.6,11.2,22,13,202,22,137,94
